step 00648/01680 (38.57%) | loss: 3.212312 | lrm: 0.95 | dt: 2134.45ms | tok/sec: 245,630 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 17 | total time: 22.68m | eta: 36.7m
step 00649/01680 (38.63%) | loss: 3.214143 | lrm: 0.95 | dt: 2136.97ms | tok/sec: 245,342 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 18 | total time: 22.72m | eta: 36.7m
step 00650/01680 (38.69%) | loss: 3.210729 | lrm: 0.95 | dt: 2138.31ms | tok/sec: 245,188 | bf16_mfu: 59.70 | epoch: 1 pq: 7 rg: 19 | total time: 22.75m | eta: 36.6m
step 00651/01680 (38.75%) | loss: 3.217936 | lrm: 0.95 | dt: 2138.95ms | tok/sec: 245,114 | bf16_mfu: 59.68 | epoch: 1 pq: 7 rg: 20 | total time: 22.79m | eta: 36.6m
step 00652/01680 (38.81%) | loss: 3.218392 | lrm: 0.94 | dt: 2139.52ms | tok/sec: 245,049 | bf16_mfu: 59.67 | epoch: 1 pq: 7 rg: 21 | total time: 22.82m | eta: 36.5m
step 00653/01680 (38.87%) | loss: 3.219070 | lrm: 0.94 | dt: 2137.00ms | tok/sec: 245,338 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 22 | total time: 22.86m | eta: 36.5m
step 00654/01680 (38.93%) | loss: 3.220130 | lrm: 0.94 | dt: 2136.93ms | tok/sec: 245,346 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 23 | total time: 22.89m | eta: 36.5m
step 00655/01680 (38.99%) | loss: 3.215739 | lrm: 0.94 | dt: 2137.45ms | tok/sec: 245,286 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 24 | total time: 22.93m | eta: 36.4m
step 00656/01680 (39.05%) | loss: 3.211646 | lrm: 0.94 | dt: 2136.21ms | tok/sec: 245,428 | bf16_mfu: 59.76 | epoch: 1 pq: 7 rg: 25 | total time: 22.96m | eta: 36.4m
step 00657/01680 (39.11%) | loss: 3.211136 | lrm: 0.94 | dt: 2135.66ms | tok/sec: 245,491 | bf16_mfu: 59.78 | epoch: 1 pq: 7 rg: 26 | total time: 23.00m | eta: 36.4m
step 00658/01680 (39.17%) | loss: 3.209340 | lrm: 0.94 | dt: 2134.48ms | tok/sec: 245,628 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 27 | total time: 23.04m | eta: 36.3m
step 00659/01680 (39.23%) | loss: 3.205174 | lrm: 0.94 | dt: 2137.16ms | tok/sec: 245,320 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 27 | total time: 23.07m | eta: 36.3m
step 00660/01680 (39.29%) | loss: 3.205976 | lrm: 0.94 | dt: 2137.16ms | tok/sec: 245,319 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 28 | total time: 23.11m | eta: 36.3m
step 00661/01680 (39.35%) | loss: 3.205119 | lrm: 0.94 | dt: 2136.36ms | tok/sec: 245,411 | bf16_mfu: 59.76 | epoch: 1 pq: 7 rg: 29 | total time: 23.14m | eta: 36.2m
step 00662/01680 (39.40%) | loss: 3.202767 | lrm: 0.94 | dt: 2135.85ms | tok/sec: 245,470 | bf16_mfu: 59.77 | epoch: 1 pq: 7 rg: 30 | total time: 23.18m | eta: 36.2m
